Sentence,Aspect
"Beds comfy, room spotless, good sanitary appliances as opposed to usual British plumbing!","['CLEANLINESS', 'ROOMS']"
Nice tub.,['ROOMS']
Fluffy towels.,['ROOMS']
Miller-Harris smellies.,['ROOMS']
"Breakfast was typical hotel fare, not especially exciting, but fresh, varied and plentiful.",['FOOD']
"Room-service fast and delicious, great selection of food.","['FOOD', 'SERVICE']"
Ate dinner at Georgetown - highly recommended!,['NOTRELATED']
There are plenty of places to eat in the area around the hotel (try the baguette-sandwiches from Patisserie Paul in the tube-vaults).,['NOTRELATED']
Vacation From Hell,['OTHER']
"Thier brochure and website rate this hotel as a four and half star property, but at the time of our visit it did not meet the standard of a three star property.",['OTHER']
"At the time of our visit, the buffet, beach club and several restaurants were under renovation.",['BUILDING']
There was not enough seating for the number or guests and because the buffet was divided into two sections; it was necessary to go to both lines to obtain a complete meal.,['OTHER']
"The result was if you ate at the buffet, you had to wait for a table and stand in two lines to obtain your meal.",['OTHER']
Not once during our stay were we able to enjoy a hot meal from the buffet.,['OTHER']
"We had to eat at dirty tables, surrounded by dirty dishes to consume lukewarm or cold meals.",['FOOD']
It was very difficult to obtain a reservation to dine at the a la carte restaurants.,['SERVICE']
The reservation system allowed only you to reserve for the current day or the day following.,['SERVICE']
"For our meal at The Grill restaurant, my husband was served tenderloin of beef that was rancid.",['FOOD']
The staff at the restaurant were unapologetic and made no effort satisfy the problem.,['SERVICE']
"We reported this incident immediately to guest services at the hotel, but there was no further response from the hotel.",['SERVICE']
"In addition to the problem with food services at the Flamenco, we had one complete day with no running water in our room and the service at the beach left much to be desired.","['ROOMS', 'SERVICE']"
"Often we were not able to obtain beach towels, some days the wait was an hour, on others days the staff had no idea when more towels were coming.",['SERVICE']
The beach staff at the Flamenco were interested only in selling us the motorized sports that were not included in our package.,['SERVICE']
"If we had been informed about the renovations at the Gran Flamenco when we were making our reservation, we would have chosen a different property.",['OTHER']
The other services we received from Air Transat for this vacation were exceptional; the staff at the Vancouver airport was helpful and polite.,['NOTRELATED']
The flight crew on our flights were wonderful.,['NOTRELATED']
The transfers worked smoothly and our accommodation in Vancouver was just as advertised.,['NOTRELATED']
"However, what should have been the best part of our vacation the time in Punta Cana fell far short of our expectations, because of the inferior food service and inadequate service at the beach.","['FOOD', 'SERVICE']"
Neither the staff of the hotel or your representative in Punta Cana showed any interest in resolving any of the problems we encountered; we certainly hope that this is not indicative of your company policy.,['SERVICE']
The problems at the hotel resulted in our having a vacation from hell instead of a vacation in paradise.,['OTHER']
Kind and Considerate,['SERVICE']
We booked this hotel after reading several reviews as it seemed like the best deal when we compared the rates to the downtown hotels.,['VALUE']
Most of the reviews stated that the staff was very helpful and friendly.,['SERVICE']
We found this to be the case in a very special way.,['SERVICE']
Jeff helped us to get the basic necessities and was on the lookout for the police who finally arrived around 3.,['CHECKIN']
"The rest of the staff was very helpful the remaining days of our stay, but we can never thank Jeff enough for his support that evening.",['SERVICE']
The room was very nice and clean.,"['CLEANLINESS', 'ROOMS']"
The University Inn is a very good deal that I would recommend to our friends.,['VALUE']
"Good enough, but not that great.",['OTHER']
View from our Jr.,['OTHER']
"Suite (upgrade from ""Ocean View"").",['OTHER']
Go figure.,['OTHER']
Excellent!!!,['OTHER']
"It is an ideally located hotel as we got off great airport express to Alexanderplatz, came out the station at the foot of the hotel.",['LOCATION']
"Reception staff smiley and helpfull, okay the room was small but spotless, well comfy beds, great view across berlin and breakfast well and truly fed us.","['CLEANLINESS', 'CHECKIN', 'ROOMS']"
For 拢168 quid two adults three nights B and B you cannot be robbed!,['VALUE']
"I saw the other hotels as we went on an excellent Bike tour with fat tire bike tours an excellent way to see the sights and meet new people, the other hotels not wanting to dis them looked very run down and trading on a name ie hilton and raddison!","['OTHER', 'NOTRELATED']"
overall a great hotel.,['OTHER']
"Pretentious, pretentious, pretentious...",['OTHER']
Stayed here for a night with some friends for a wedding.,['NOTRELATED']
The hotel staff was rude and acted like a bunch of premadonas.,['SERVICE']
I would highly reccommend a hotel called The Phoenix over this place.,['NOTRELATED']
At least there you can get good service and a more confortable experience.,"['OTHER', 'NOTRELATED']"
Please take my advice...,['NOTRELATED']
Stay away from THe Clift Hotel.,['OTHER']
Unless you are into travel nightmares.,['OTHER']
Poor Hotel and Staff,"['OTHER', 'SERVICE']"
"This place is terrible, we arrived after a flight from Gatwick, UK we wanted to book in, get a coffee and a meal, bed and ready for the cruise the following day, we were told our room number by a chap that wanted to be elswhere, the room was on the 1st floor, we had 2 heavy pieces of luggage and the lift was out of order, we got to the room which had a strong musty smell, the bathroom was small but clean, the wash basin is not in the bathroom but in the main room ?","['CLEANLINESS', 'OTHER', 'ROOMS']"
"the room was not very clean, although the beds were ok.We wanted a coffee, but at 9.30pm we could not get one, when I asked at reception they said it was not possible.","['CLEANLINESS', 'SERVICE']"
We went to Bannigans next door which is adequate for a supper and a beer.,['NOTRELATED']
"The following morning I was up at 5.30 am and wanted a coffeeonce again this was not available until 6am, WHY ?",['SERVICE']
"The breakfast consisted of doughnuts and muffins, if you were quick enough.",['FOOD']
"As I booked through Carnival I assumed the hotel would be of a decent standard, Carnival should look at this part of the operation, the feel good experience should start when we get to Miami.",['OTHER']
If you have a choice DONT STAY HERE.,['OTHER']
Wonderful Experience My brother got married on Sunday,['OTHER']
Themoment we arrived we new we made the right choice!,['OTHER']
The experience was first class all the way.,['OTHER']
Check in was fast and curtious.,['CHECKIN']
The only little complaint I had was that the room was a corner (#827) and the left and front were all windows so the TV was actually to the right of the bed which made watching in bed difficult.,['ROOMS']
Not a huge issue but worth noting.,['ROOMS']
"The bathroom was huge, spotless and beautiful!","['CLEANLINESS', 'ROOMS']"
"The bed was very comfortable and the even with the 2 walls of glass, the room darkeners kept in pitch black.",['ROOMS']
"We ate all our meals off premises, so I can not comment on the in hotel restaurant other than it was very expensive.",['VALUE']
The location is perfect and I highly recommend the spa at the attached LA sports Club.,['LOCATION']
Great massage!,['OTHER']
"Just Right This hotel is in the perfect location, especially for the touristy traveler.",['LOCATION']
Nothing is too far away.,['LOCATION']
The staff is very friendly and speak excellent english.,['SERVICE']
The breakfast buffet is the closest thing to an American breakfast on the Left Bank.,['FOOD']
"Even after I read this hotel's excellent reviews, it still exceeded my expectations.",['OTHER']
The very friendly front desk staff made excellent dinner recommendations and on one occassion even accompanied me to the nearby restaurant!,['SERVICE']
"Don't expect a room with a view, and the hotel is on a fairly busy street, but they do have live jazz nightly.",['ROOMS']
"If you're looking for a great place to stay on the happening Left Bank, this should be your choice - you won't regret it.",['OTHER']
Ideal position Excellent location between,['LOCATION']
Cathedral (200m) and the famous Rambla(500m) yet in safe quieter side street.,['LOCATION']
Take rooms on side or rear.,['ROOMS']
Tourist class accomodation but adequate.,['ROOMS']
My twin room was small for two and air conditioning barely adequate.,['ROOMS']
Staff neither gushing nor aloof.,['SERVICE']
Breakfast at 12 euros is pricey for what is available better to pop out to local cafe.,['FOOD']
Bathroom tired and towels grey!,['ROOMS']
but clean and fresh.,['CLEANLINESS']
For the money I recommend this because of it position and has all the things needed.,['VALUE']
Note pedestrian area of the Rambla means in the evening taxis cannot approach and a walk may be required.,['LOCATION']
Absolutly Amazing!!!!,['OTHER']
From the time we checked to the time you check out it's sooo amazing.,['OTHER']
You will not want to leave.,['OTHER']
The resort is about 25 minutes away from the airport.,['LOCATION']
When you arrive at the resort the bell man takes your luggage and you proceed to check in.,['CHECKIN']
At check in the ask you what drink you want and they get it for you.,['CHECKIN']
We got into our room at 3pm the bell man took our luggage and drove us to our room in the golf cart.,['SERVICE']
We had a Luxury Jacuzzi Gardenview Ste.....The best room ever.,['ROOMS']
"We had a beautiful kitchen, with a nice table and livingroom with a balcony, and also a flat panel TV, and huge bedroom with a King bed, and also another flat panel TV.",['ROOMS']
The bathroom was amazing.,['ROOMS']
It had a 2 person jacuzzi.,['ROOMS']
The pool is amazingly HUGE.,['OTHER']
It has a nice swimup bar where the bar tenders are amazing.,['OTHER']
Now my favorite part of course is the food.,['FOOD']
I have been to Punta Cana 3 times and hands down the food at this resort has got to be the BEST.,['FOOD']
This resort you know your eating beef.,['FOOD']
Everything is cooked well...it tastes like American food.,['FOOD']
We only ate at Passions and the food was soo good.,['FOOD']
The buffets has soo many choices of food.,['FOOD']
"The beach......the sand is white the water is crystal clear and warm, and nice blue color.",['OTHER']
There is a lot of sea weed.,['NOTRELATED']
If you do want to do any shopping like I said before to the left of the resort there is about 10 little shops.,['OTHER']
Trapped in Paradise,['OTHER']
"The beach and the hotel lobby was beautiful however, the room left a lot to be desired.","['BUILDING', 'ROOMS']"
My husband and I received a gift to go for our honeymoon.,['NOTRELATED']
We were excited to be alone in what was described as paradise little did we know we would have been better off staying at home.,['OTHER']
The hotel was briefed ahead of time that we would be spending our honeymoon with them.,['OTHER']
Our room was decorated with love birds made of towels and we received a small bottle of room.,['ROOMS']
"The bedding situation consisted of two twin size beds that we tried to put together but, one was higher than the other, some way to consummate a marriage?",['ROOMS']
We ended up sleeping in separate beds for the week.,['ROOMS']
"My husband and I decided we would spend time in the Jacuzzi tub but, it didn鈥檛 work.",['ROOMS']
The water pressure was horrible and the jets did not work.,['ROOMS']
"We received only two thread bare towels per day with no wash clothes unfortunate for us that we bath at least two times per day.At meal times it was torture, the food was not cooked fully, not hot, and not appetizing it was a chore to find something decent to eat.","['FOOD', 'ROOMS']"
Items that were served for dinner the night before reappeared for lunch with a sauce on it.,['FOOD']
The food smelled spoiled most of the time.,['FOOD']
To think we had to pay a mandatory $76 per day per person for that slop.,"['FOOD', 'VALUE']"
"At the hotel there are two restaurants available by reservation, we decided to reserve a table in the seafood restaurant; the menu was very limited and only contain one fish dish (the other dishes were chicken or beef).",['FOOD']
If you wanted lobster or shrimp you had to pay an additional $27.00.,"['FOOD', 'VALUE']"
If you are a drinker you will feel like you died and went to heaven; one can drink the day away with many choices and the $76.00 will feel like a bargain.,['VALUE']
For us it was a week in hell.,['OTHER']
"The hotel staff that peddled excursions harassed you in the hotel, on the grounds and on the beach constantly.",['SERVICE']
Once they realized that we were from America the price tripled for an average three hour excursion.,['VALUE']
To avoid the harassment I stayed in my room except to go to the slop house to eat.On our last day there we were up and ready by 7:00am waiting for our time to leave we could not wait to get home.,"['FOOD', 'OTHER']"
"Take our advice, stay at home, save your money if this is where you plan to vacation.",['OTHER']
"Fantastic, Fabulous, just perfect",['OTHER']
"How can you go back to the ranch when you been to Paris, or to be exact the George V Four Seasons Hotel.",['OTHER']
"It is true, you have to see it to believe it.The room was spacious, beautiful arrangements of fresh flowers everywhere in the hotel, and the staff was always gracious.","['BUILDING', 'ROOMS', 'SERVICE']"
My husband and my nine year old son enjoyed the indoor pool just before going out to dinner.,['BUILDING']
It is truly one of the best hotels in the world.,['OTHER']
A Fine Establishment!,['OTHER']
We stayed in this hotel for one night in October 2006 and found it to be excellent.,['OTHER']
"It is nicely decorated, clean and comfortable and the staff were extremely polite and helpful.","['BUILDING', 'CLEANLINESS', 'SERVICE']"
"The concierge brought out a tourist map and in no time had gone through the attractions with us, along with how to navigate the metro.",['CHECKIN']
One slight gripe was its distance from the centre was a lot farther than advertised on needahotel.,['LOCATION']
"com, but taxis were cheap and readily available, in addition to the convenience of the metro.",['LOCATION']
"It's not in the prettiest part of town, but the area is quite safe and is abviously being redeveloped with trendy apartments.",['LOCATION']
"Overall, an excellent choice",['OTHER']
"friendly, good value","['SERVICE', 'VALUE']"
Small hotel near the Ala Moana marina and shopping centre.,['LOCATION']
The inside of the hotel has been recently renovated and is very tasteful.,['BUILDING']
The beds are very comfortable and have more pillows than even I can use!,['ROOMS']
"Previous comments have been made about the road noise, which is noticeable, but I'm not sure what else to expect on a busy road in a major city.",['OTHER']
"There are 2 beaches nearby (10-15min walk), Dukes opposite the Hilton and the lovely Ala Moana beach park on the other side of the Marina.",['LOCATION']
"All the staff were very friendly, especially Rene, and if you're there on a Tuesday there's a nice touch of a drinks reception where management and guests mingle.",['SERVICE']
"Mike, the manager really does seem to be looking for honest opinions and comments for his hotel.",['OTHER']
mostly good but.....Feb 19-26,['OTHER']
"Ok lets start, check in went well, until we found out we had two double beds instead of the king we asked for when we booked the trip back in nov.Not a big deal.",['CHECKIN']
"The room was clean, lots of towels ,a/c worked all good there, though it would have been nice to have a newly renovated room like some were, but for the time we spent in the room it wasn't a big deal either.","['CLEANLINESS', 'ROOMS']"
The restaurants were all good.,['FOOD']
"The pools were very clean, but you had to get up at 5am to put your towel on a loung chair or you wouldn't get one by the pool or under an umbrella.",['CLEANLINESS']
"Only one complaint, and that it was very disturbing was there was a large group of students that arrived the day after we did and they had just completly took over everything in the resort the pools, the restaurants the pool mats the bars they were loud and roudy up all thhrough the night singing banging on peoples doors in the wee hours of the night wasting the drinks by throwing them on each other just a lack of respect for everyone around them including the staff and other guests.",['OTHER']
Bottom line is I will never return to this resort simply because management did nothing to correct this problem.,['SERVICE']
A t-shirt and a bottle just dont cut it when you spent so much to come and relax!!!,['OTHER']
Hotel staff provided prompt and courteous service to address our every need.,['SERVICE']
The interior decor reflected modern style and charm with four-star comfort.,['BUILDING']
The pool area was a delightfully bright place to cool off on those hot Phoenix days.,['BUILDING']
We highly recommend the Clarendon Hotel and Suites.,['OTHER']
Won't stay here again!,['OTHER']
We asked for two beds and got one bed and a pull out sofa bed.,['SERVICE']
I'm only 5'4 and my feet hung over the edge of the bed.,['ROOMS']
Also you could feel the springs digging into your back all night long.,['ROOMS']
When we brought this up with the front desk clerk he shrugged his shoulders and said all two bed rooms in this hotel are like that.,['CHECKIN']
Breakfast was also a problem.,['SERVICE']
We were to get a free continental breakfast each morning.,['SERVICE']
Just fill out the card with the time slot you wish your breakfast to arrive at your room.,['SERVICE']
We had to call every morning for our breakfast and twice one morning.,['SERVICE']
Finally the pool was only open for use once during our one week stay.,['OTHER']
So if you are wanting a pool I don't suggest booking here.,['OTHER']
Great Location (behind the Flower Markets),['LOCATION']
Great location when we eventually found it!!,['LOCATION']
"When we arrived Sat 10th March and went to check in, the receptionist explained that she did not have a room for us that night but only on Sunday, and we could stay in a 4 star nearby and then come back the following night.",['CHECKIN']
"After the receptionist put the phone down she then informed me that they did have a room afterall, but we could not check in after 2pm.",['CHECKIN']
"We went out for a well earned drink and came back and we were actually given a family room on the 7th floor, nice view ( but a very warm room) given that the weather was fab for the duration of our stay.",['ROOMS']
Breakfast was good but staff had a bit of an attitude to be honest.,"['FOOD', 'SERVICE']"
"Would I stay there again, yes",['OTHER']
"Wonderful, Wonderful, Wonderful",['OTHER']
We stayed at The Benjamin from Feb 18-24.,['OTHER']
"One of the great things about this hotel and any great hotel, is the staff.",['SERVICE']
"The Concierge Desk, Victor, Patrick, Mohammed, Jonathan, to name just a few, were always pleasant, efficient and helpful.",['SERVICE']
We booked a one bedroom suite which was on the 8th floor.,['OTHER']
"Engineering and Housekeeping responsed promtly to any request ,to repair a light or a choice from their wonderful pillow menu.","['FOOD', 'SERVICE']"
"On return to our room one evening there was a note from Engineering with a box of Godiva chocolates, telling us that they had carried out repairs and apologizing for the inconvenience.",['SERVICE']
"We were a little baffled, as the light repair on the desk had been attended to, anyway we enjoyed the chocolates, but ,later in the evening as we turned on the television we realized that the television had been replaced with a flat screen model.","['FOOD', 'SERVICE']"
The room was wonderfully appointed.,['ROOMS']
Room service breakfast was very good.,"['FOOD', 'SERVICE']"
"The location is superb, the best of New York is at your feet.",['LOCATION']
"We had a wonderful, wonderful , wonderful stay and would highly recommend this hotel.",['OTHER']
"Many thanks to the General Manager, Allen Kramme, for his note of welcome and the fruits and water on arrival.","['CHECKIN', 'SERVICE']"
"Great Hotel, Great location","['OTHER', 'LOCATION']"
We found the staff very helpful and pleasant.,['SERVICE']
Our room was on the 26th floor with a view of the empire state building from the bed!!,['ROOMS']
"For the best breakfast tun left as you leave the hotel and walk up to where the small bridge crosses the road at Grand Central Station under this bridge straight across from the station you get the most fantastic breakfast, be early it gets very busy.",['NOTRELATED']
"The hotels location is second to none you have the Empire state, 5th Avenue, Grand Central, Chrysler Building, Times Square etc all within a few minute walk.",['LOCATION']
Ps Do the circle line boat tour to see the statue of liberty and the new york skyline it is fantastic.,['NOTRELATED']
Mosser Excellent Value!,['VALUE']
"It's a beautifully designed, well appointed and friendly staffed hotel.","['BUILDING', 'SERVICE']"
"The employees are very helpful and knowledgeble (overheard a desk clerk explaining our California Mission system to a foreigner), though not overly solicitous (with hand out).",['SERVICE']
The location is perfect.,['LOCATION']
Bus to the ballpark is right in front.,['LOCATION']
Excellent restaurants within walking distance; the Metreon for movies.,"['FOOD', 'LOCATION']"
"The MOMA around the corner and of course, Dave's Bar on 3rd...best beer deals in town; always has the game on and a great Juke box!",['LOCATION']
"Rooms are small, but perfect for what a busy or active traveler needs.",['ROOMS']
"Our room had a small chair that had a swing table on the arm and a foot rest that slid out, perfect for working on the laptop.",['ROOMS']
"Flat screen TV, dvd and stereo.",['ROOMS']
The famous one on Nob Hill doesn't even offer that!,"['ROOMS', 'NOTRELATED']"
We definately will return; we get up to the city often and have found a new pad in the Mosser.,['OTHER']
I'll recommend it to everyone heading to the City.,['OTHER']
"The better hotels should take notice! Mosser, Great job!!",['OTHER']
"Hotel is in Fisherman's Wharf, close to everything.",['LOCATION']
Exterior of hotel is very old and dated...I was worried when we drove up to check in.,['BUILDING']
But as soon as you entered you could see the renovations!,['BUILDING']
VERY beautiful and stylish lobby.,['BUILDING']
"Rooms were great, as well.",['ROOMS']
We had a king bed in our room and had plenty of space.,['ROOMS']
Not much of a view as all the surrounding buildings are the same height.,['ROOMS']
"Great, clean rooms and bathrooms.",['CLEANLINESS']
I would definitely stay here again.,['OTHER']
PARKING: is $43 plus tax per day; watch out!!,['VALUE']
My new favorite hotel!,['OTHER']
My husband and I stayed at the Sofitel New York August 4th-6th.,['OTHER']
"After much research and reading of reviews on this site, I chose this hotel.",['OTHER']
"It was our first trip to NYC and this was the ideal location, centrally located to tour the city.",['LOCATION']
We walked just about everywhere.,['LOCATION']
It was also very nicely tucked on a side street so it was always very quiet.,['LOCATION']
"The hotel is very clean, beautiful and offers friendly service.","['BUILDING', 'CLEANLINESS', 'SERVICE']"
The bed was so comfortable; I could not wait to come back to our room every night just for that!!!,['ROOMS']
I followed the advice that many people wrote and signed up for a free Sofitel Privileges card and also emailed the hotel to let them know we were there to celebrate our anniversary.,['NOTRELATED']
We were upgraded from a queen to king room with a view!,['SERVICE']
We also received champagne and chocolates our first night.,['SERVICE']
With the Sofitel card we also had a 4 PM checkout which was great.,['OTHER']
This is definitely my most favorite of all hotels I have stayed in and would absolutely stay here again and any other Sofitel.,['OTHER']
I highly recommend this hotel especially for couples.,['OTHER']
It's fantastic!,['OTHER']
Nice modern hotel.,['OTHER']
Loved the vibe of the hotel.,['OTHER']
Very modern.,"['BUILDING', 'OTHER']"
Great for the younger 30 something crowd.,['OTHER']
"Not to be age pregidous but, didn't see anyone here that was older 60+ like other hotels in the immediate area as this one.",['OTHER']
"Pros about the hotel: Great beds, down pillows were great.",['ROOMS']
"Has very nice robes in room, CD player and DVD player.",['ROOMS']
Also has a neat candy machine in the room that is a nickle for some hot tamale candy.,['ROOMS']
"I thought it was a VERY quite hotel, but again we stayed on the 19th Floor.",['ROOMS']
Just about 3 blocks or so from the French Quarter and directly across the street from Harrahs Casino.,['LOCATION']
There are some cons about this hotel - REMEMBER - if you drive down your parking is NOT FREE!,['VALUE']
Looking at about $32.00 extra tacked on the hotel bill for valet overnight parking.,['VALUE']
The rooms are a bit small for the price of the room.,"['ROOMS', 'VALUE']"
Paid $209 for a basic king bedroom.,"['ROOMS', 'VALUE']"
No frills - nice mini bar in room but VERY expensive.,['VALUE']
$4 bucks for a candy bar!,['VALUE']
This is a great hotel if you want to stay somewhere a little different.,['OTHER']
Pleased with stay,['OTHER']
We're a family of four and stayed in their quad room for 2 nights in June.,['NOTRELATED']
The room was very spacious with a nice bathroom and nice amenities.,['ROOMS']
We were very pleased with our stay and would definitely stay there again.,['OTHER']
PROS:Brothers who run the hotel are very helpful.,['SERVICE']
Breakfast was large and wonderful.,['FOOD']
Rooms were big.Walking distance to many sites.,"['LOCATION', 'ROOMS']"
DVD with movies to borrow nice after a full day of sightseeing.,['OTHER']
Bathroom updated nice.,['CLEANLINESS']
Only a block away from a laundromat.,['LOCATION']
Price was good compared to other hotels I checked on.CONS - not many:Area immediately around hotel doesn't have much open in the evening for dinner.,"['LOCATION', 'VALUE']"
Elevator didn't appear to work.,['BUILDING']
Excellent Stay!!!!!,['OTHER']
